City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
bengkulu,100,ID,1584236467,57,-3.8,102.27,88.72,0.67
itarema,81,BR,1584236621,95,-2.92,-39.92,74.59,2.73
lavrentiya,100,RU,1584236622,79,65.58,-171.0,21.02,10.56
port elizabeth,79,ZA,1584236430,82,-33.92,25.57,66.65,11.97
codrington,66,AU,1584236622,71,-38.27,141.97,59.13,15.48
leningradskiy,95,RU,1584236622,76,69.38,178.42,6.15,13.69
umm lajj,0,SA,1584236622,65,25.02,37.27,61.9,6.04
hami,100,CN,1584236619,22,42.8,93.45,43.72,1.59
mahebourg,40,MU,1584236511,94,-20.41,57.7,75.2,7.81
provost,100,CA,1584236622,96,52.35,-110.27,3.7,4.45
chapais,90,CA,1584236623,85,49.78,-74.85,10.4,16.11
inta,100,RU,1584236623,89,66.03,60.17,3.38,9.4
nikolskoye,55,RU,1584236452,53,59.7,30.79,23.0,13.42
xining,100,CN,1584236623,23,36.62,101.77,39.47,5.73
laki,90,BG,1584236524,81,41.85,24.82,48.0,8.05
shelburne,1,CA,1584236544,74,44.08,-80.2,33.01,5.82
komsomolskiy,0,UZ,1584236624,38,40.43,71.72,46.4,6.93
padang,49,ID,1584236624,58,-0.95,100.35,83.03,1.83
laguna,1,US,1584236624,76,38.42,-121.42,54.0,12.75
palu,100,ID,1584236624,57,-0.89,119.87,82.56,4.29
mongo,88,TD,1584236624,14,12.18,18.69,65.12,7.38
hobart,75,AU,1584236443,62,-42.88,147.33,63.0,13.87
sao miguel do araguaia,0,BR,1584236624,94,-13.28,-50.16,72.41,1.86
stolbishche,47,RU,1584236624,92,55.65,49.22,30.2,4.47
yovon,0,TJ,1584236625,36,38.31,69.04,48.2,11.18
hofn,99,IS,1584236625,65,64.25,-15.21,30.13,15.12
santiago de cao,75,PE,1584236625,83,-7.96,-79.24,73.4,10.29
hobyo,56,SO,1584236625,80,5.35,48.53,79.88,13.33
galiakot,62,IN,1584236490,30,23.52,74.0,66.83,9.53
san patricio,75,MX,1584236538,83,19.22,-104.7,80.6,9.17
thompson,20,CA,1584236508,45,55.74,-97.86,5.0,3.36
atambua,2,ID,1584236625,67,-9.11,124.89,84.42,5.86
inuvik,90,CA,1584236626,58,68.35,-133.72,30.2,2.24
muros,90,ES,1584236626,100,42.78,-9.06,48.99,2.24
la paz,40,BO,1584236583,81,-16.5,-68.15,48.2,5.82
bollnas,68,SE,1584236626,73,61.35,16.39,30.0,14.61
kaputa,89,ZM,1584236626,96,-8.47,29.66,64.36,1.45
pontianak,96,ID,1584236626,60,-0.03,109.33,89.06,2.86
saint-pierre,33,RE,1584236421,73,-21.34,55.48,75.2,8.05
tamale,94,GH,1584236626,56,9.4,-0.84,85.08,7.78
voh,100,NC,1584236627,78,-20.97,164.7,84.18,41.52
vardo,100,NO,1584236575,92,70.37,31.11,19.04,35.72
tuktoyaktuk,75,CA,1584236627,85,69.45,-133.04,24.8,38.03
taltal,51,CL,1584236627,90,-25.4,-70.48,59.85,3.06
lazaro cardenas,27,MX,1584236627,87,17.96,-102.2,75.85,0.6
punta arenas,99,CL,1584236348,67,-53.15,-70.92,57.2,28.86
bilibino,100,RU,1584236491,85,68.05,166.44,2.97,6.11
butaritari,0,KI,1584236628,74,3.07,172.79,83.88,11.79
ilulissat,97,GL,1584236358,77,69.22,-51.1,-0.4,6.93
balsas,100,BR,1584236628,92,-7.53,-46.04,73.96,2.53
vung tau,100,VN,1584236628,55,10.35,107.08,87.93,15.32
bundaberg,50,AU,1584236628,47,-24.85,152.35,80.6,13.87
port-gentil,97,GA,1584236628,77,-0.72,8.78,82.94,7.87
hanumangarh,0,IN,1584236628,62,29.58,74.32,59.11,4.9
kungurtug,31,RU,1584236628,71,50.6,97.52,24.62,1.34
rocha,73,UY,1584236629,84,-34.48,-54.33,62.1,5.28
namatanai,100,PG,1584236629,72,-3.67,152.43,84.18,10.42
lerwick,2,GB,1584236629,87,60.15,-1.15,44.6,21.92
nyuzen,20,JP,1584236629,45,36.93,137.5,48.0,8.05
auki,95,SB,1584236629,76,-8.77,160.7,84.34,13.42
vangaindrano,100,MG,1584236630,95,-23.35,47.6,72.39,2.06
atar,0,MR,1584236630,12,20.52,-13.05,67.55,6.58
charqueada,0,BR,1584236630,88,-22.51,-47.78,68.58,3.96
sobolevo,96,RU,1584236630,60,54.43,31.9,24.91,17.18
pevek,100,RU,1584236448,67,69.7,170.31,7.63,8.12
goodyear,20,US,1584236605,43,33.44,-112.36,71.6,2.98
ponta do sol,75,PT,1584236630,67,32.67,-17.1,60.8,12.75
ust-nera,54,RU,1584236593,91,64.57,143.2,-14.62,4.63
pingzhuang,0,CN,1584236631,26,42.04,119.29,29.73,21.65
vila franca do campo,20,PT,1584236631,82,37.72,-25.43,55.4,8.05
ratnagiri,22,IN,1584236631,27,16.98,73.3,82.26,2.04
inirida,100,CO,1584236631,87,3.87,-67.92,75.04,1.63
sioux lookout,20,CA,1584236492,43,50.1,-91.92,17.6,2.24
shenkursk,100,RU,1584236631,88,62.11,42.9,19.54,8.88
veraval,33,IN,1584236631,21,20.9,70.37,75.11,20.31
islaz,90,RO,1584236631,93,43.73,24.75,45.0,6.93
lebu,0,CL,1584236632,76,-37.62,-73.65,53.38,8.03
ciudad bolivar,58,VE,1584236632,56,8.12,-63.55,79.09,7.76
egvekinot,93,RU,1584236632,61,66.32,-179.17,9.75,2.08
airai,49,TL,1584236493,50,-8.93,125.41,81.63,5.53
mildura,0,AU,1584236632,37,-34.2,142.15,69.01,11.41
buchanan,30,LR,1584236632,94,5.88,-10.05,77.56,2.93
provideniya,87,RU,1584236632,86,64.38,-173.3,20.64,10.65
sungai padi,20,TH,1584236632,83,6.09,101.88,82.4,3.36
college,90,US,1584236633,67,64.86,-147.8,30.0,4.7
acapulco,20,MX,1584236505,74,16.86,-99.89,82.4,3.36
la ronge,75,CA,1584236633,60,55.1,-105.28,5.0,2.24
belmonte,40,BR,1584236619,78,-15.86,-38.88,80.6,3.36
brae,44,GB,1584236633,93,60.4,-1.35,44.6,19.46
victoria,42,HK,1584236633,56,22.29,114.16,71.01,6.93
chimbote,100,PE,1584236633,69,-9.09,-78.58,76.12,4.61
aksu,43,CN,1584236633,21,41.12,80.26,46.09,2.46
tateyama,75,JP,1584236633,65,34.98,139.87,48.99,11.41
westerland,100,DE,1584236634,78,54.91,8.3,39.99,11.99
srednekolymsk,100,RU,1584236634,96,67.45,153.68,-2.67,12.93
mabaruma,91,GY,1584236634,99,8.2,-59.78,71.51,1.57
fortuna,20,US,1584236495,65,40.6,-124.16,46.99,8.05
dunedin,100,NZ,1584236634,74,-45.87,170.5,61.0,20.0
caninde de sao francisco,8,BR,1584236634,80,-9.66,-37.79,75.56,6.26
lyubech,100,UA,1584236634,52,51.7,30.66,28.44,14.27
luderitz,0,NA,1584236480,72,-26.65,15.16,66.2,12.75
riyadh,20,SA,1584236407,48,24.69,46.72,64.4,5.82
yeppoon,0,AU,1584236635,48,-23.13,150.73,82.4,11.41
yarovoye,100,RU,1584236635,99,52.93,78.58,34.02,11.54
lichinga,57,MZ,1584236635,93,-13.31,35.24,68.58,3.44
flinders,90,AU,1584236460,55,-34.58,150.86,68.0,12.75
dalby,75,AU,1584236635,53,-27.18,151.27,82.99,8.05
cayenne,65,GF,1584236519,83,4.93,-52.33,77.0,5.99
alawalpur,0,IN,1584236635,71,31.43,75.65,58.84,1.19
masaki,75,JP,1584236386,66,33.79,132.71,50.0,23.04
dikson,67,RU,1584236636,99,73.51,80.55,-17.95,6.22
deer lake,90,CA,1584236636,80,49.17,-57.43,30.2,11.41
khonsa,100,IN,1584236636,60,27.02,95.57,72.14,2.37
camocim,100,BR,1584236636,96,-2.9,-40.84,74.55,3.27
botwood,75,CA,1584236636,83,49.15,-55.35,32.0,21.92
senneterre,5,CA,1584236637,66,48.38,-77.23,14.0,14.99
roald,100,NO,1584236637,66,62.58,6.13,42.8,14.99
sao filipe,0,CV,1584236637,57,14.9,-24.5,73.15,13.91
surab,100,PK,1584236637,25,28.49,66.26,48.76,4.07
wajima,40,JP,1584236637,56,37.4,136.9,42.8,10.29
ust-kan,100,RU,1584236637,81,50.93,84.76,24.03,10.36
iqaluit,5,CA,1584236637,67,63.75,-68.51,-25.01,11.41
asmar,0,AF,1584236637,35,35.03,71.36,40.75,9.13
san jeronimo,100,PE,1584236638,87,-11.95,-75.28,41.68,3.22
asau,90,RO,1584236589,60,46.43,26.4,39.2,16.11
kathu,20,TH,1584236638,69,7.92,98.33,82.4,5.82
yanam,20,IN,1584236638,83,16.73,82.22,73.4,4.7
wewak,100,PG,1584236638,96,-3.55,143.63,75.25,6.22
lasa,5,IT,1584236442,78,46.62,10.7,39.99,1.79
georgetown,20,MY,1584236452,88,5.41,100.34,84.2,4.7
arica,99,CL,1584236638,69,-18.48,-70.3,73.4,5.73
biak,46,ID,1584236638,69,-0.91,122.88,83.28,7.58
high rock,16,BS,1584236639,83,26.62,-78.28,74.44,13.31
laon,81,FR,1584236639,87,49.57,3.67,46.4,4.7
portland,75,US,1584235965,60,45.52,-122.68,41.0,25.28
dongsheng,0,CN,1584236639,23,39.82,109.98,43.16,10.18
omboue,100,GA,1584236639,91,-1.57,9.26,76.73,2.21
zadar,40,HR,1584236639,43,44.12,15.24,52.0,13.87
micoud,75,LC,1584236639,78,13.82,-60.9,77.0,12.75
trondheim,20,NO,1584236639,43,63.43,10.4,35.6,21.92
matamoros,75,MX,1584236640,29,25.53,-103.25,91.4,6.93
paramirim,100,BR,1584236640,94,-13.44,-42.24,65.55,5.7
price,90,US,1584236640,75,39.6,-110.81,46.0,4.7
gobabis,0,NA,1584236640,72,-22.45,18.97,68.0,20.8
mount isa,5,AU,1584236415,31,-20.73,139.5,87.8,9.17
kruisfontein,10,ZA,1584236499,84,-34.0,24.73,62.2,8.63
burlington,1,US,1584236542,34,39.88,-74.64,53.01,8.05
ust-kuyga,0,RU,1584236640,86,70.02,135.6,-17.75,8.08
breytovo,92,RU,1584236641,88,58.3,37.86,21.63,8.86
imbituba,75,BR,1584236641,61,-28.24,-48.67,78.8,13.87
mendi,100,PG,1584236641,81,-6.18,143.65,65.39,1.95
petropavlovsk-kamchatskiy,90,RU,1584236641,53,53.05,158.65,26.6,11.18
chokurdakh,33,RU,1584236641,88,70.63,147.92,-15.93,1.48
mackay,11,AU,1584236641,58,-21.15,149.2,82.99,16.11
tombouctou,100,ML,1584236641,6,20.0,-3.0,77.58,8.9
korla,100,CN,1584236641,29,41.76,86.15,36.01,3.49
faanui,0,PF,1584236642,73,-16.48,-151.75,83.46,11.74
eureka,75,US,1584236642,80,40.8,-124.16,46.99,17.22
maniitsoq,34,GL,1584236642,77,65.42,-52.9,0.3,9.95
lompoc,90,US,1584236573,71,34.64,-120.46,57.2,5.82
seoul,1,KR,1584236624,33,37.57,126.98,46.4,2.24
kavieng,99,PG,1584236642,64,-2.57,150.8,85.37,5.23
taoudenni,0,ML,1584236642,12,22.68,-3.98,69.71,6.4
beloha,85,MG,1584236642,85,-25.17,45.05,70.77,10.33
jacareacanga,97,BR,1584236643,99,-6.22,-57.75,71.76,0.67
sagua la grande,40,CU,1584236643,83,22.81,-80.08,75.2,10.29
jumla,100,NP,1584236643,74,29.27,82.18,35.73,1.83
carnarvon,90,AU,1584236643,69,-24.87,113.63,80.6,8.05
yerazgavors,40,AM,1584236643,93,40.7,43.75,41.0,2.24
port macquarie,75,AU,1584236643,93,-31.43,152.92,68.0,13.87
hay river,90,CA,1584236643,40,60.82,-115.8,15.8,12.75
waingapu,28,ID,1584236525,72,-9.66,120.26,83.39,6.22
saint anthony,1,US,1584236644,68,45.02,-93.22,30.99,6.13
rawson,0,AR,1584236644,65,-43.3,-65.1,60.96,7.63
tuatapere,100,NZ,1584236644,67,-46.13,167.68,66.99,1.99
olinda,75,BR,1584236644,78,-8.01,-34.86,80.6,2.24
mancio lima,100,BR,1584236644,96,-7.61,-72.9,74.44,2.39
champerico,27,GT,1584236644,75,14.3,-91.92,78.58,2.28
kerchevskiy,5,RU,1584236644,93,59.95,56.29,18.9,2.64
vaitape,0,PF,1584236645,73,-16.52,-151.75,83.46,11.74
puksoozero,50,RU,1584236645,92,62.59,40.61,13.84,6.24
athabasca,69,CA,1584236598,99,54.72,-113.29,-4.61,0.81
benguela,100,AO,1584236645,84,-12.58,13.41,78.58,3.62
kampene,100,CD,1584236645,89,-3.6,26.67,68.45,2.04
marquard,0,ZA,1584236645,60,-28.66,27.43,55.18,4.21
japura,65,ID,1584236645,56,-0.32,102.35,89.42,2.3
cockburn town,0,TC,1584236645,79,21.46,-71.14,75.61,19.8
faya,20,SA,1584236646,87,18.39,42.45,59.0,18.34
katsuura,40,JP,1584236440,45,35.13,140.3,48.99,12.75
anloga,40,GH,1584236646,88,5.79,0.9,82.4,5.82
harper,100,LR,1584236646,95,4.38,-7.72,77.49,2.77
sabrum,100,IN,1584236646,46,23.0,91.73,78.76,9.57
grand-santi,26,GF,1584236646,76,4.25,-54.38,75.79,4.29
torbay,20,CA,1584236646,85,47.67,-52.73,34.0,24.16
vostok,100,RU,1584236483,83,46.49,135.88,20.57,6.08
semenivka,65,UA,1584236647,41,52.18,32.58,27.72,17.31
xichang,0,CN,1584236647,56,27.9,102.26,52.93,8.05
ikalamavony,1,MG,1584236647,83,-21.15,46.58,66.07,4.54
san cristobal,40,VE,1584236456,74,7.77,-72.22,80.6,2.24
yulara,0,AU,1584236647,20,-25.24,130.99,86.0,12.75
mayskiy,20,RU,1584236647,64,47.69,40.1,39.99,8.95
hambantota,20,LK,1584236417,100,6.12,81.12,73.4,5.82
dodge city,90,US,1584236455,93,37.75,-100.02,37.0,10.29
sitka,1,US,1584236648,56,57.05,-135.33,42.8,3.36
quelimane,24,MZ,1584236648,94,-17.88,36.89,77.0,3.36
lagoa,22,PT,1584236648,83,39.05,-27.98,58.8,11.34
dillon,90,US,1584236648,55,34.42,-79.37,66.2,3.74
coquimbo,0,CL,1584236648,88,-29.95,-71.34,62.6,5.82
iroquois falls,20,CA,1584236648,66,48.77,-80.68,14.0,5.82
lamesa,75,US,1584236648,82,32.74,-101.95,62.6,10.29
jalu,48,LY,1584236649,44,29.03,21.55,58.71,2.77
salalah,75,OM,1584236497,53,17.02,54.09,77.0,5.82
aksarka,95,RU,1584236649,89,66.56,67.8,-6.38,8.28
talnakh,75,RU,1584236649,92,69.49,88.4,17.6,13.42
fort nelson,75,CA,1584236649,27,58.81,-122.7,26.6,5.82
london,90,GB,1584236625,76,51.51,-0.13,51.01,13.87
ballina,40,AU,1584236649,73,-28.87,153.57,73.4,19.46
sangar,100,RU,1584236650,89,63.92,127.47,-4.13,14.65
oksfjord,90,NO,1584236650,79,70.24,22.35,24.8,27.51
huaidian,41,CN,1584236650,31,33.43,115.03,62.71,8.08
bambous virieux,40,MU,1584236413,94,-20.34,57.76,75.2,13.02
upernavik,90,GL,1584236650,99,72.79,-56.15,-14.69,2.39
poya,100,NC,1584236650,77,-21.35,165.15,84.76,29.42
akyab,100,MM,1584236650,60,20.15,92.9,80.1,2.28
kayes,12,ML,1584236650,14,14.0,-11.0,76.42,6.6
shuyskoye,80,RU,1584236651,90,59.37,41.03,14.41,5.3
pomerode,75,BR,1584236651,83,-26.74,-49.18,79.0,12.75
pangnirtung,100,CA,1584236432,98,66.15,-65.71,-34.33,0.72
rona de sus,0,RO,1584236651,59,47.9,24.05,33.8,2.24
akdepe,100,TM,1584236651,54,42.06,59.38,57.2,13.87
caravelas,100,BR,1584236651,79,-17.71,-39.25,80.42,12.39
kawalu,29,ID,1584236651,76,-7.38,108.21,81.41,4.27
north bend,90,US,1584236651,93,43.41,-124.22,42.01,4.7
gerash,0,IR,1584236652,62,27.67,54.14,57.2,2.13
ancud,20,CL,1584236438,81,-41.87,-73.82,50.0,4.7
erzin,75,TR,1584236652,100,36.96,36.2,61.0,0.67
praia da vitoria,20,PT,1584236652,93,38.73,-27.07,55.4,3.85
oytal,0,KZ,1584236652,40,42.91,73.27,49.08,6.06
alugan,22,PH,1584236652,62,12.22,125.48,81.82,10.51
zhezkazgan,40,KZ,1584236652,100,47.8,67.71,23.0,6.71
mareeba,20,AU,1584236653,45,-17.0,145.43,90.0,11.41
inverell,25,AU,1584236653,52,-29.78,151.12,73.0,8.99
montauban,0,FR,1584236653,86,44.08,1.5,46.0,2.24
dholka,75,IN,1584236653,36,22.72,72.47,62.6,6.93
east london,88,ZA,1584236441,82,-33.02,27.91,70.57,14.9
santa maria,75,BR,1584236600,69,-29.68,-53.81,80.6,5.82
sweetwater,20,US,1584236653,69,25.76,-80.37,77.0,11.41
alofi,100,NU,1584236483,74,-19.06,-169.92,86.0,9.17
bubaque,0,GW,1584236420,46,11.28,-15.83,82.18,17.0
sarasota,90,US,1584236555,88,27.17,-82.33,78.8,11.01
chapada dos guimaraes,75,BR,1584236654,88,-15.46,-55.75,77.0,4.7
washington,90,US,1584236452,50,47.5,-120.5,33.8,4.7
marawi,97,PH,1584236450,78,8.0,124.29,80.01,7.0
zhengjiatun,38,CN,1584236654,24,43.51,123.51,25.92,24.63
olafsvik,98,IS,1584236654,64,64.89,-23.71,26.78,14.7
sukhobezvodnoye,92,RU,1584236654,94,57.05,44.89,29.19,9.04
beringovskiy,85,RU,1584236654,91,63.05,179.32,22.42,8.55
mazagao,75,BR,1584236655,100,-0.12,-51.29,80.6,6.93
neverkino,72,RU,1584236655,94,52.79,46.74,31.87,7.47
makakilo city,90,US,1584236655,83,21.35,-158.09,80.6,8.05
tepeapulco,90,MX,1584236655,35,19.78,-98.55,69.8,3.36
port hardy,5,CA,1584236655,30,50.7,-127.42,41.0,14.99
klaksvik,100,FO,1584236655,64,62.23,-6.59,35.6,21.92
goderich,100,CA,1584236494,82,43.75,-81.72,34.0,3.0
haines junction,0,CA,1584236655,87,60.75,-137.51,18.68,4.25
saint george,20,US,1584236504,48,37.1,-113.58,61.0,12.75
jati,100,PK,1584236656,19,24.35,68.27,72.54,3.89
muyezerskiy,0,RU,1584236656,89,63.93,31.65,5.36,7.54
tambo grande,100,PE,1584236656,62,-4.93,-80.34,80.13,4.21
tilichiki,100,RU,1584236656,91,60.47,166.1,26.47,5.35
kuala lipis,98,MY,1584236656,67,4.18,102.05,84.42,1.97
zabaykalsk,0,RU,1584236601,66,49.63,117.32,13.8,4.81
inhambane,3,MZ,1584236656,80,-23.86,35.38,76.75,1.95
sarangani,53,PH,1584236657,71,5.4,125.46,81.18,3.8
gagino,7,RU,1584236657,93,55.23,45.03,31.35,5.82
port blair,32,IN,1584236657,68,11.67,92.75,83.03,6.24
kimbe,100,PG,1584236657,81,-5.55,150.14,82.54,3.49
cap malheureux,40,MU,1584236610,94,-19.98,57.61,75.2,10.65
manakara,54,MG,1584236657,92,-22.13,48.02,73.71,3.2
geraldton,75,AU,1584236657,74,-28.77,114.6,80.6,13.87
port moresby,40,PG,1584236657,78,-9.44,147.18,82.4,11.41
los llanos de aridane,0,ES,1584236434,67,28.66,-17.92,62.6,8.05
vigrestad,90,NO,1584236535,87,58.57,5.7,44.6,28.86
oneonta,100,US,1584236439,73,42.45,-75.06,36.0,6.67
pacific grove,90,US,1584236658,87,36.62,-121.92,55.0,13.87
verbilki,94,RU,1584236658,92,56.53,37.6,19.4,11.18
sorland,90,NO,1584236658,68,67.67,12.69,36.54,15.46
san policarpo,22,PH,1584236658,62,12.18,125.51,81.82,10.51
sivas,75,TR,1584236658,100,39.79,37.0,33.8,5.82
olds,75,CA,1584236659,70,51.78,-114.1,-0.4,11.41
burnie,87,AU,1584236575,51,-41.07,145.92,66.0,11.99
aklavik,90,CA,1584236528,58,68.22,-135.01,30.2,2.24
port lincoln,6,AU,1584236434,59,-34.73,135.87,65.3,14.88
phalaborwa,0,ZA,1584236659,91,-23.94,31.14,70.88,5.77
los andes,0,CL,1584236659,38,-32.83,-70.6,73.4,6.93
pauini,100,BR,1584236660,83,-7.71,-66.98,76.77,2.42
pindiga,46,NG,1584236660,18,9.98,10.93,66.43,8.75
ainazi,0,LV,1584236660,55,57.86,24.36,31.8,8.1
meadow lake,1,US,1584236660,30,34.8,-106.54,57.99,9.17
zarand,33,IR,1584236660,45,30.81,56.56,46.94,8.39
jacqueville,75,CI,1584236660,94,5.21,-4.41,78.8,9.17
orlik,33,RU,1584236661,79,52.52,99.83,17.6,5.59
san vicente,0,AR,1584236661,51,-26.62,-54.13,71.1,2.35
souillac,40,MU,1584236661,94,-20.52,57.52,75.2,7.81
sommerda,28,DE,1584236661,69,51.15,11.1,37.99,11.41
sisimiut,0,GL,1584236661,81,66.94,-53.67,-14.53,5.53
kattivakkam,40,IN,1584236661,83,13.22,80.32,82.0,3.36
kloulklubed,75,PW,1584236531,70,7.04,134.26,84.2,9.17
raudeberg,99,NO,1584236661,86,61.99,5.14,39.99,19.46
chingirlau,100,KZ,1584236661,82,51.09,54.08,35.42,13.29
richards bay,54,ZA,1584236662,85,-28.78,32.04,77.85,10.98
te anau,100,NZ,1584236549,67,-45.42,167.72,61.65,7.18
borujerd,100,IR,1584236662,94,33.9,48.75,36.55,1.39
tiarei,40,PF,1584236662,66,-17.53,-149.33,87.8,11.41
